ind,cost_element,cost_2017,alg_name,fun_unit,variables,updated
1,211_fac,810015.17,esc_1987,million,"escalate_1987, ref_211_fac",0
2,212_fac,0,default_0,million,N/A,0
3,213_fac,660388.72,MWth_scale,million,"c_213_fac, mwth, scale_0.8",0
4,215_fac,2121224.73,NO_ALG,million,N/A,0
5,216_fac,1756069.67,NO_ALG,million,N/A,0
6,217_fac,2842399.83,NO_ALG,million,N/A,0
7,218A_fac,1314294.08,NO_ALG,million,N/A,0
8,220A.211_fac,127380000,NO_ALG,million,N/A,0
9,220A.2121_fac,45204200,unit_weights,million,"c_zero, c_220A.2121_ss_weight",0
10,220A.2122_fac,45204200,unit_weights,million,"c_zero, c_220A.2122_ss_weight",0
11,220A.2131_fac,1320000,unit_facility,million,"no_of_cr, c_cr_per_unit_fac",0
12,220A.2132_fac,13453440,unit_facility,million,"no_of_crd, c_crd_per_unit_fac",0
13,220A.221_fac,55696873.29,unit_facility,million,"no_of_rcpump, c_pump_per_unit_fac",0
14,220A.222_fac,7464800,unit_weights,million,"c_zero, c_220A.222_ss_weight",0
15,220A.223_fac,118647119.8,Sgsum,million,N/A,0
16,220A.224_fac,1379368.42,MWth_lmfbrscale,million,"r_78_220A224_fac, mwth, scale_1.0",0
17,222.11_fac,1101963.79,MWth_scale,million,"c_222.11_fac, mwth, scale_1.0",0
18,222.12_fac,1280778.06,MWth_scale,million,"c_222.12_fac, mwth, scale_1.0",0
19,222.13_fac,21900.68,MWth_scale,million,"c_222.13_fac, mwth, scale_1.0",0
20,222.14_fac,4380.14,MWth_scale,million,"c_222.14_fac, mwth, scale_1.0",0
21,222_fac,2409022.68,MWth_scale,million,"c_222_fac, mwth, scale_1.0",0
22,224_fac,46047915.43,esc_1987,million,"escalate_1987, ref_224_fac",0
23,226.4_fac,34304867.39,MWth_scale,million,"r_78_226.4_fac, mwth, scale_1.0",0
24,226.7_fac,0,default_0,million,N/A,0
25,227_fac,37538349.96,esc_1987,million,"escalate_1987, ref_227_fac",0
26,231_fac,53544604.81,dev_factor_ref,million,"c_turbine, scale_tur_231_fac, scale_1.0",0
27,233_fac,19829554.55,MWreth_scale,million,"c_233_fac, mwreth, scale_0.8",0
28,234_fac,0,default_0,million,N/A,0
29,235_fac,4788444.35,ptn_account,million,"c_231_fac, prn_235_of_231_fac",0
30,241_fac,20635161.28,MWe_scale,million,"c_241_fac, mwe, scale_0.4",0
31,242_fac,33563126.13,MWe_scale,million,"c_242_fac, mwe, scale_0.4",0
32,245_fac,0,MWe_scale,million,"c_245_fac, mwe, scale_0.4",0
33,246_fac,2902733.98,MWe_scale,million,"c_246_fac, mwe, scale_0.4",0
34,252_fac,24869567.31,esc_1987,million,"escalate_1987, ref_252_fac",0
35,262_fac,30555532.85,MWreth_scale,million,"c_262_fac, mwreth, scale_0.8",0
36,2c_fac,736246154.6,NO_ALG,million,N/A,0
37,211_lab,41328822.54,esc_1987,million,"escalate_1987, ref_211_lab",0
38,212_lab,43940775.98,containment,million,Tot_Labor_containment,0
39,213_lab,11873274.12,MWth_scale,million,"c_213_lab, mwth, scale_0.8",0
40,215_lab,7101615.96,NO_ALG,million,N/A,0
41,216_lab,24337584.5,NO_ALG,million,N/A,0
42,217_lab,12836637.9,NO_ALG,million,N/A,0
43,218A_lab,10038481.64,NO_ALG,million,N/A,0
44,220A.211_lab,8750000,NO_ALG,million,N/A,0
45,220A.2121_lab,0,default_0,million,N/A,0
46,220A.2122_lab,0,default_0,million,N/A,0
47,220A.2131_lab,0,default_0,million,N/A,0
48,220A.2132_lab,0,default_0,million,N/A,0
49,220A.221_lab,0,default_0,million,N/A,0
50,220A.222_lab,0,default_0,million,N/A,0
51,220A.223_lab,3173085.99,Sgsum,million,N/A,0
52,220A.224_lab,0,default_0,million,N/A,0
53,222.11_lab,1274883.33,MWth_scale,million,"c_222.11_lab, mwth, scale_1.0",0
54,222.12_lab,3317279.46,MWth_scale,million,"c_222.12_lab, mwth, scale_1.0",0
55,222.13_lab,613897.3,MWth_scale,million,"r_222.13_lab, mwth, scale_1.0",0
56,222.14_lab,82172.71,MWth_scale,million,"c_222.14_lab, mwth, scale_1.0",0
57,222_lab,5288232.81,MWth_scale,million,"c_222_lab, mwth, scale_1.0",0
58,224_lab,11434348.55,esc_1987,million,"escalate_1987, ref_224_lab",0
59,226.4_lab,0,default_0,million,N/A,0
60,226.7_lab,0,default_0,million,N/A,0
61,227_lab,21960889.79,esc_1987,million,"escalate_1987, ref_227_lab",0
62,231_lab,588990.65,ptn_account,million,"c_231_fac, prn_fac_231_lab",0
63,233_lab,8082642.16,MWreth_scale,million,"c_233_lab, mwreth, scale_0.8",0
64,234_lab,0,default_0,million,N/A,0
65,235_lab,4258930.48,ptn_account,million,"c_231_lab, prn_235_of_231_lab",0
66,241_lab,1107205.12,MWe_scale,million,"c_241_lab, mwe, scale_0.4",0
67,242_lab,2861071.44,MWe_scale,million,"c_242_lab, mwe, scale_0.4",0
68,245_lab,32970390.22,MWe_scale,million,"c_245_lab, mwe, scale_0.4",0
69,246_lab,21514837.92,MWe_scale,million,"c_246_lab, mwe, scale_0.4",0
70,252_lab,44371766.01,esc_1987,million,"escalate_1987, ref_252_lab",0
71,262_lab,12634376.8,MWreth_scale,million,"c_262_lab, mwreth, scale_0.8",0
72,2c_lab,330450874.6,NO_ALG,million,N/A,0
73,211_mat,29075021.35,esc_1987,million,"escalate_1987, ref_211_mat",0
74,212_mat,37484659.34,containment,million,Tot_Mat_containment,0
75,213_mat,12070727.96,MWth_scale,million,"c_213_mat, mwth, scale_0.8",0
76,215_mat,3247159.31,NO_ALG,million,N/A,0
77,216_mat,12656345.83,NO_ALG,million,N/A,0
78,217_mat,12470546.09,NO_ALG,million,N/A,0
79,218A_mat,4897224.28,NO_ALG,million,N/A,0
80,220A.211_mat,870000,NO_ALG,million,N/A,0
81,220A.2121_mat,0,default_0,million,N/A,0
82,220A.2122_mat,0,default_0,million,N/A,0
83,220A.2131_mat,0,default_0,million,N/A,0
84,220A.2132_mat,0,default_0,million,N/A,0
85,220A.221_mat,0,default_0,million,N/A,0
86,220A.222_mat,0,default_0,million,N/A,0
87,220A.223_mat,266890.16,Sgsum,million,N/A,0
88,220A.224_mat,0,default_0,million,N/A,0
89,222.11_mat,127488.33,MWth_scale,million,"c_222.11_mat, mwth, scale_1.0",0
90,222.12_mat,326175.16,MWth_scale,million,"c_222.12_mat, mwth, scale_1.0",0
91,222.13_mat,61389.73,MWth_scale,million,"r_222.13_mat, mwth, scale_1.0",0
92,222.14_mat,8217,MWth_scale,million,"c_222.14_mat, mwth, scale_1.0",0
93,222_mat,523270.22,MWth_scale,million,"c_222_mat, mwth, scale_1.0",0
94,224_mat,2191177.36,esc_1987,million,"escalate_1987, ref_224_mat",0
95,226.4_mat,0,default_0,million,N/A,0
96,226.7_mat,0,default_0,million,N/A,0
97,227_mat,1920497.47,esc_1987,million,"escalate_1987, ref_227_mat",0
98,231_mat,3266220.89,ptn_account,million,"c_231_fac, prn_fac_231_mat",0
99,233_mat,1153654.54,MWreth_scale,million,"c_233_mat, mwreth, scale_0.8",0
100,234_mat,0,default_0,million,N/A,0
101,235_mat,516040.29,ptn_account,million,"c_231_mat, prn_235_of_231_mat",0
102,241_mat,161981.4,MWe_scale,million,"c_241_mat, mwe, scale_0.4",0
103,242_mat,546787.41,MWe_scale,million,"c_242_mat, mwe, scale_0.4",0
104,245_mat,7921308.52,MWe_scale,million,"c_245_mat, mwe, scale_0.4",0
105,246_mat,13355962.89,MWe_scale,million,"c_246_mat, mwe, scale_0.4",0
106,252_mat,12609745.55,esc_1987,million,"escalate_1987, ref_252_mat",0
107,262_mat,1587534.77,MWreth_scale,million,"c_262_mat, mwreth, scale_0.8",0
108,2c_mat,158795865.5,NO_ALG,million,N/A,0