ind,alg_name,alg_for,alg_description,alg_python,alg_formulation,alg_units
1,acc211,c,"Site_improvements,_facilities,_land_(M$)",FusionFunc,"acc211= csi*cmlsa[lsa-1] + cland",million
2,acc212,c,Reactor_building_cost_(M$),FusionFunc,"acc212= (1.0e-6*ucrb*rbvol)**exprb* cmlsa[lsa - 1]",million
3,acc213,c,Turbine_building_cost_(M$),FusionFunc," if ireactor == 1:
        acc213 = cturbb * cmlsa[lsa - 1]
    else: acc213 = 0.0e0",million
4,acc2141,c,Reactor_maintenance_building_cost_(M$),FusionFunc,"acc2142 = 1.0e-6*ucmb*rmbvol**exprb*cmlsa[lsa - 1]",million
5,acc2142,c,Warm_shop_cost_(M$),FusionFunc,"acc2142 = (1.0e-6*ucws*wsvol)**exprb*cmlsa[lsa - 1]",million
6,acc215,c,Tritium_building_cost_(M$),FusionFunc,"acc215 = ((1.0e-6*uctr*triv)*exprb)*cmlsa[lsa - 1]",million
7,acc216,c,Electrical_equipment_building_cost_(M$),FusionFunc,"acc216 = 1.0e-6*ucel*elevol**exprb*cmlsa[lsa - 1]",million
8,acc2171,c,Additional_buildings_cost_(M$),FusionFunc,"acc2171 = 1.0e-6*ucad*admvol**exprb* cmlsa[lsa - 1]",million
9,acc2172,c,Control_room_buildings_cost_(M$),FusionFunc,"acc2172 = 1.0e-6*ucconc*convol**exprb* cmlsa[lsa - 1]",million
10,acc2173,c,Shop_and_warehouses_cost_(M$),FusionFunc,"acc2173 = 1.0e-6*ucsh*shovol**exprb*cmlsa[lsa - 1]",million
11,acc2174,c,Cryogenic_building_cost_(M$),FusionFunc,"acc2174 = 1.0e-6*uccr*cryvol**exprb*cmlsa[lsa - 1]",million
12,acc2211,c,First_wall_cost_(M$),FusionFunc,"if ife == 1:
        acc2211 = (1.0e-6*cmlsa[lsa - 1]
            *  (ucblss*(fwmatm(1, 1)+ fwmatm(2, 1)+ fwmatm(3, 1))
            + uccarb*(fwmatm(1, 2)+ fwmatm(2, 2)+ fwmatm(3, 2))
            + ucblli2o*(fwmatm(1, 4) + fwmatm(2, 4)+ fwmatm(3, 4))
            + ucconc*(fwmatm(1, 5)+ fwmatm(2, 5)+ fwmatm(3, 5))))
    else:
        acc2211 = (1.0e-6* cmlsa[lsa - 1]*((ucfwa + ucfws)* fwarea+ ucfwps)) 
    acc2211 = fkind * acc2211
    if ifueltyp == 1:
        acc2211 = 0
        acc2211 = fwallcst
    elif ifueltyp == 2:
        fwallcst = acc2211
    else:
        fwallcst = 0.0e0",million
13,acc22121,c,Blanket_beryllium_cost_(M$),FusionFunc,"if ife == 1:
        acc22121 = 0
    else:
        if iblanket == 4:
            acc22121 = 1.0e-6*wtbllipb*ucbllipb
        else:
            acc22121 = 1.0e-6*whtblbe*ucblbe
    acc22121 = fkind*acc22121*cmlsa[lsa-1]",million
14,acc22122,c,Blanket_breeder_material_cost_(M$),FusionFunc,"if ife == 1:
        if iblanket == 4:
            acc22122 = 1.0e-6*whtblli*ucblli
        else:
            if iblanket == 2:
                acc22122 = 1.0e-6*whtblbreed*ucblbreed
            else:
                acc22122 = 1.0e-6*wtblli2o*ucblli2o
    else:
        acc22122 = 1.0e-6*wtblli2o*ucblli2o
    acc22122 =fkind*acc22122*cmlsa[lsa - 1]",million
15,acc22123,c,Blanket_stainless_steel_cost_(M$),FusionFunc,"acc22123 = acc22123 = 1.0e-6*whtblss*ucblss
 acc22123 = fkind*acc22123*cmlsa[lsa - 1]",million
16,acc22124,c,Blanket_vanadium_cost_(M$),FusionFunc,"if ife == 1:
        acc22124 = 1.0e-6*whtblvd*ucblvd
 else:
        acc22124 = 0
  acc22124 = fkind*acc22124*cmlsa[lsa-1]
  return acc22124",million
17,acc22131,c,Bulk_shield_cost_(M$),FusionFunc,"if ife == 1:
        acc22131 = 1.0e-6*cmlsa[lsa - 1]*ucshld*(shmatm[1, 0] + shmatm[2, 0]+shmatm[3, 0])
        + uccarb*(shmatm[1, 1]+ shmatm[2, 1]+ shmatm[3, 1])
        + ucblli2o*(shmatm[1, 1]+ shmatm[2, 1]+ shmatm[3, 1])
        + ucconc* (shmatm[1, 1] + shmatm[2, 1]+ shmatm[3, 1]) 
    else:
        acc22131 = 1.0e-6*whtshld*ucshld*cmlsa[lsa - 1] 
    acc22131 = fkind*acc22131",million
18,acc22132,c,Penetration_shielding_cost_(M$),FusionFunc,"if ife == 1:
        acc22132 = 1.0e-6*wpenshld*ucpens* cmlsa[lsa - 1]
    else:
        acc22132 = 1.0e-6*wpenshld*ucpens* cmlsa[lsa - 1]
    acc22132 = fkind*acc22132",million
19,acc2214,c,Total_support_structure_cost_(M$),FusionFunc,"acc2214 = 1.0e-6*gsmass*ucgss*cmlsa[lsa - 1]
    acc2214 = fkind*acc2214",million
20,acc2215,c,Divertor_cost_(M$),FusionFunc,"if ife == 1:
        acc2215 = 0
        divcst = 0
    else:
        acc2215 = 1.0e-6 * divsur * ucdiv
        acc2215 = fkind * acc2215
        if ifueltyp == 1:
            acc2215 = 0
            acc2215 = divcst 
        elif ifueltyp == 2:
            divcst = acc2215
        else:
            divcst = 0.0e0 ",million
21,acc22211,c,TF_coil_conductor_cost_(M$),FusionFunc,"if i_tf_sup == 1:  
        costtfsc = ucsc[i_tf_sc_mat - 1]*whtconsc/(tfleng*n_tf_turn)
        costtfcu = uccu*whtconcu/(tfleng*n_tf_turn)
        costwire = costtfsc+costtfcu
        ctfconpm = costwire+cconshtf+cconfix
        acc22211 = 1.0e-6*ctfconpm*n_tf*tfleng*n_tf_turn
        acc22211 = fkind*acc22211*cmlsa[lsa - 1]
    else:  
        acc22211 = 1.0e-6*whtcp*uccpcl1*cmlsa[lsa - 1]
        acc22211 = fkind*acc22211
        if (itart == 1) and (ifueltyp == 1):
            acc22211 = cpstcst
            accc22211 = 0.0e0
        elif (itart == 1) and (ifueltyp == 2):
            acc22211 = cpstcst",million
22,acc22212,c,TF_coil_winding_cost_(M$),FusionFunc,"if i_tf_sup == 1:
        acc22212 = 1.0e-6*ucwindtf*n_tf*tfleng*n_tf_turn
        acc22212 = fkind*acc22212*cmlsa[lsa-1]
    else:
        acc22212 = 1.0e-6*whttflgs*uccpclb*cmlsa[lsa - 1]
        acc22212 = fkind*acc22212",million
23,acc22213,c,TF_coil_case_cost_(M$),FusionFunc," if i_tf_sup == 1:
        acc22213 = 1.0e-6*(whtcas*uccase)*n_tf
        acc22213 = fkind*acc22213*cmlsa[lsa - 1]
    else:
        acc22213 = 0",million
24,acc22214,c,TF_intercoil_structure_cost_(M$),FusionFunc,"if i_tf_sup == 1:
        acc22214 = 1.0e-6*aintmass*ucint
        acc22214 = fkind*acc22214*cmlsa[lsa - 1]
    else:
        acc22214 = 0",million
25,acc22215,c,TF_coil_gravity_support_structure_(M$),FusionFunc,"if i_tf_sup == 1:
        acc22215 = 1.0e-6*clgsmass*ucgss
        acc22215 = fkind*acc22215*cmlsa[lsa - 1]
    else:
        acc22215 = 0",million
26,acc22221,c,PF_coil_conductor_cost_(M$),FusionFunc,,million
27,acc22222,c,PF_coil_winding_cost_(M$),FusionFunc,"for i in range(0, nohc):
        pfwndl = pfwndl +(twopi*rpf[i] *turns[i])
    acc22222 = 1.0e-6*ucwindpf*pfwndl
    acc22222 = fkind*acc22222*cmlsa[lsa - 1]",million
28,acc22223,c,PF_coil_case_cost_(M$),FusionFunc,"acc22223 = 1.0e-6*uccase*whtpfs
    acc22223 = fkind*acc22223*cmlsa[lsa - 1]",million
29,acc22224,c,PF_coil_support_structure_cost_(M$),FusionFunc,"acc22224 = 1.0e-6*ucfnc*fncmass
    acc22224 = fkind*acc22224*cmlsa[lsa - 1]",million
30,acc2223,c,Vacuum_vessel_assembly_cost_(M$),FusionFunc,"acc2223 = 1.0e-6*vvmass*uccryo
    acc2223 = fkind*acc2223*cmlsa[lsa - 1]",million
31,acc2231,c,ECH_system_cost_(M$),FusionFunc,,million
32,acc2232,c,Lower_hybrid_system_cost_(M$),FusionFunc,"if ife == 1:
        if iefrf == 2:
            acc2232 = (1.0e-6*uclh*(1.0e6*plhybd)**exprf)
        else:
            acc2232 = (1.0e-6*ucich*(1.0e6*plhybd)**exprf)
            if ifueltyp == 1:
                acc2232 = (1.0e0-fcdfuel)*acc2232
                acc2232 = fkind * acc2232
    else:
        if ifueltyp == 1:
            acc2232 = 0.0e0",million
33,acc2233,c,Neutral_beam_system_cost_(M$),FusionFunc,"if ife == 1:
            acc2233 = (1.0e-6*ucnbi*(1.0e6*pnbitot)**exprf)
            if ifueltyp == 1:
                acc2233 = (1.0e0-fcdfuel)*acc2233
                acc2233 = fkind*acc2233
    else:
            if ifedrv == 2:
                acc2233 = 0.0e0",million
34,acc2241,c,High_vacuum_pumps_cost_(M$),FusionFunc,"if ntype == 1:
        acc2241 = 1.0e-6*vpumpn*uccpmp
    else:
        acc2241 = 1.0e-6*vpumpn*uctpmp
    acc2241 = fkind*acc2241",million
35,acc2242,c,Backing_pumps_cost_(M$),FusionFunc,"acc2242 = 1.0e-6*nvduct*ucbpmp
    acc2242 = fkind*acc2242 ",million
36,acc2243,c,Vacuum_duct_cost_(M$),FusionFunc,,million
37,acc2244,c,Valves_cost_(M$),FusionFunc,"acc2244 = 1.0e-6*2.0e0*nvduct*((vcdimax*1.2e0)**1.4e0)*ucvalv
    acc2244 = fkind*acc2244",million
38,acc2245,c,Duct_shielding_cost_(M$),FusionFunc,"acc2245 = 1.0e-6*nvduct*vacdshm*ucvdsh
    acc2245 = fkind*acc2245",million
39,acc2246,c,Instrumentation_cost_(M$),FusionFunc,"acc2246 = 1.0e-6*ucviac
    acc2246 = fkind*acc2246",million
40,acc22511,c,TF_coil_power_supplies_cost_(M$),FusionFunc,"acc22511 = 1.0e-6*uctfps*(tfckw*1.0e3+tfcmw*1.0e6)**expel
    acc22511 = fkind*acc22511",million
41,acc22512,c,TF_coil_breakers_cost_(M$),FusionFunc," if i_tf_sup == 1:
        acc22512 = 1.0e-6*(uctfbr*n_tf*(cpttf*vtfskv*1.0e3)**expel+uctfsw*cpttf)
    else:
        acc22512 = 0.0e0
    acc22512 = fkind*acc22512",million
42,acc22513,c,TF_coil_dump_resistors_cost_(M$),FusionFunc,"acc22513 = 1.0e-6*(1.0e9*uctfdr*estotftgj+uctfgr*0.5e0*n_tf)
    acc22513 = fkind*acc22513",million
43,acc22514,c,TF_coil_instrumentation_and_control_(M$),FusionFunc,"acc22514 = 1.0e-6*uctfic*(30.0e0*n_tf)
    acc22514 = fkind*acc22514 ",million
44,acc22515,c,TF_coil_bussing_cost_(M$),FusionFunc," if i_tf_sup == 1:
        acc22515 = 1.0e-6*ucbus*cpttf*tfbusl
    else:
        acc22515 = 1.0e-6*uctfbus*tfbusmas
    acc22515 = fkind*acc22515",million
45,acc22521,c,PF_coil_power_supplies_cost_(M$),FusionFunc,,million
46,acc22522,c,PF_coil_instrumentation_and_control_(M$),FusionFunc,"acc22522 = 1.0e-6*ucpfic*pfckts*30.0e0
    acc22522 = fkind*acc22522",million
47,acc22523,c,PF_coil_bussing_cost_(M$),FusionFunc,"acc22523 = 1.0e-6*ucpfb*spfbusl*acptmax
    acc22523 = fkind*acc22523",million
48,acc22524,c,PF_coil_burn_power_supplies_cost_(M$),FusionFunc,"if pfckts == 0:
        acc22524 = 0.0e0
    else:
       acc22524 = 1.0e-6*ucpfbs*pfckts*(srcktpm/pfckts)**0.7e0
    acc22524 = fkind*acc22524",million
49,acc22525,c,PF_coil_breakers_cost_(M$),FusionFunc,"acc22525 = 1.0e-6*ucpfbk*pfckts*((acptmax*vpfskv)**0.7e0)
    acc22525 = fkind*acc22525",million
50,acc22526,c,PF_coil_dump_resistors_cost_(M$),FusionFunc,"acc22526 = 1.0e-6*ucpfdr1*ensxpfm
    acc22526 = fkind*acc22526",million
51,acc22527,c,PF_coil_ac_breakers_cost_(M$),FusionFunc," acc22527 = 1.0e-6*ucpfcb*pfckts
    acc22527 = fkind*acc22527",million
52,acc2253,c,"Total,_energy_storage_cost_(M$)",FusionFunc,"if lpulse == 1:
        if istore == 1:
            acc2253 = 0.1e0
            acc2253 = acc2253 + 0.8e0
            acc2253 = acc2253 + 4.0e0
            acc2253 = acc2253 + 0.5e0
            acc2253 = acc2253 + 2.8e0
            acc2253 = acc2253 + 29.0e0
        elif istore == 2:
            acc2253 = 0.1e0
            acc2253 = acc2253 + 0.8e0
            acc2253 = acc2253 + 2.8e0
            acc2253 = acc2253 + 4.0e0
            acc2253 = acc2253 + 330.0e0
            acc2253 = acc2253 + 1.0e0
            acc2253 = acc2253 + 2.0e0
            acc2253 = acc2253 + 18.0e0
        elif istore == 3:
            shcss = 520.0e0
            acc2253 = ucblss*(pthermmw * 1.0e6)*tdown/(shcss*dtstor)
    if istore < 3:
        acc2253 = acc2253*pnetelmw / 1200.0e0
        acc2253 = acc2253*1.36e0",million
53,accpp,c,Pumps_and_piping_system_cost_(M$),FusionFunc,"accpp = 1.0e-6*uchts[coolwh-1]*((1.0e6*pfwdiv)**exphts+
                                     (1.0e6*pnucblkt)**exphts+(1.0e6*pnucshld)**exphts)
    accpp =fkind*accpp*cmlsa[lsa - 1]",million
54,acchx,c,Primary_heat_exchanger_cost_(M$),FusionFunc,"acchx = 1.0e-6*ucphx*nphx*(1.0e6*pthermmw/nphx)**exphts
    acchx =fkind*acchx*cmlsa[lsa - 1]",million
55,accppa,c,"Pumps,_piping_cost_(M$)",FusionFunc,"acccppa = (1.0e-6*ucahts*((1.0e6*pinjht)**exphts+(1.0e6*crypmw)**exphts+
                (1.0e6*vachtmw)**exphts+(1.0e6*trithtmw)**exphts+(1.0e6*fachtmw)**exphts))
    if ife == 1:
        acccppa = acccppa+1.0e-6*ucahts*((1.0e6*tdspmw)**exphts
                + (1.0e6*tfacmw)**exphts)
    acccppa =fkind*acccppa*cmlsa[lsa - 1]",million
56,acc2262,c,"Total,_auxiliary_cooling_system_cost_(M$)",FusionFunc,"cal_acc2262 = cal_accppa",million
57,acc2263,c,"Total,_cryogenic_system_cost_(M$)",FusionFunc,,million
58,acc2271,c,Fuelling_system_cost_(M$),FusionFunc,"acc2271 = 1.0e-6*ucf1
    acc2271 = fkind*acc2271",million
59,acc2272,c,Fuel_processing_and_purification_cost_(M$),FusionFunc,"if ife == 1:
        targtm = (gain*edrive*3.0e0*1.67e-27*1.0e3)/(1.602e-19 * 17.6e6 * fburn)
        wtgpd = targtm*reprat*86400.0e0
    else:
        wtgpd = 2.0e0*rndfuel*afuel*umass*1000.0e0*86400.0e0
    acc2272 = 1.0e-6*ucfpr*(0.5e0+0.5e0*(wtgpd/60.0e0)**0.67e0)
    acc2272 = fkind*acc2272",million
60,acc2273,c,Atmospheric_recovery_systems_cost_(M$),FusionFunc,"if ftrit > 1.0e-3:
        acc2273 = (1.0e-6*ucdtc*((cfrht / 1.0e4) ** 0.6e0*(volrci+wsvol)))
    else:
        acc2273 = 0.0e0
    acc2273 = fkind*acc2273",million
61,acc2274,c,Nuclear_building_ventilation_cost_(M$),FusionFunc,"acc2274 = 1.0e-6*ucnbv*(volrci+wsvol)**0.8e0
    acc2274 =fkind*acc2274",million
62,acc228,c,Instrumentation_and_control_cost_(M$),FusionFunc,"acc228 = 1.0e-6*uciac
    acc228 = fkind*acc228",million
63,acc229,c,Maintenance_equipment_cost_(M$),FusionFunc,"acc229 = 1.0e-6*ucme
    acc229 = fkind*acc229",million
64,acc23,c,Turbine_plant_equipment_cost_(M$),FusionFunc,"if ireactor == 1:
        acc23 = (1.0e-6*ucturb[coolwh - 1]*(pgrossmw / 1200.0e0)**exptpe)",million
65,acc241,c,Switchyard_equipment_cost_(M$),FusionFunc,"acc241 = 1.0e-6*ucswyd*cmlsa[lsa - 1]",million
66,acc242,c,Transformers_cost_(M$),FusionFunc,"acc242 = 1.0e-6*((ucpp*(pacpmw* 1.0e3)**expepe)+ucap*(fcsht * 1.0e3))
    acc242 = acc242 * cmlsa[lsa - 1]",million
67,acc243,c,Low_voltage_equipment_cost_(M$),FusionFunc,,million
68,acc244,c,Diesel_backup_equipment_cost_(M$),FusionFunc,"acc244 = 1.0e-6*ucdgen*4.0e0*cmlsa[lsa - 1]",million
69,acc245,c,Auxiliary_facilities_cost_(M$),FusionFunc,"acc245 = 1.0e-6*ucaf*cmlsa[lsa - 1]",million
70,acc25,c,Miscellaneous_plant_equipment_cost_(M$),FusionFunc,"acc25 = 1.0e-6*ucmisc*cmlsa[lsa - 1]",million
71,acc26,c,Heat_rejection_system_cost_(M$),FusionFunc,"if ireactor == 0:
        pwrrej = powfmw+pinjwp+tfcmw
    else:
        pwrrej = pthermmw - pgrossmw
    acc26 = (1.0e-6*uchrs*pwrrej)/ 2300.0e0*cmlsa[lsa - 1]",million
