ind,code_of_account,account_description,total_cost,level,supaccount,cost_elements,review_status,prn
1,211,Yardwork,2609431,2,21,"211_fac,211_lab,211_mat",Unchanged,0.03396
2,212,Reactor containment,418694,2,21,"212_fac,212_lab,212_mat",Unchanged,0.00545
3,213,Building and utilities,16301349,2,21,"213_fac,213_lab,213_mat",Unchanged,0.21217
4,218T,Reactor startup facility,1027100,3,218,"218T_fac,218T_lab,218T_mat",Unchanged,0.01337
5,221.12,Outer vessel,103946,3,221,"221.12_fac,221.12_lab,221.12_mat",Unchanged,0.00135
6,221.13,Inner vessel,318739,3,221,"221.13_fac,221.13_lab,221.13_mat",Unchanged,0.00415
7,221.21,Reactivity control system,9043404,3,221,"221.21_fac,221.21_lab,221.21_mat",Unchanged,0.1177
8,221.22,Reflector,3277300,3,221,"221.22_fac,221.22_lab,221.22_mat",Unchanged,0.04266
9,221.23,Shield,3902600,3,221,"221.23_fac,221.23_lab,221.23_mat",Unchanged,0.05079
10,221.24,Moderator,0,3,221,"221.24_fac,221.24_lab,221.24_mat",Unchanged,0
11,222.12,Reactor coolant system (heat pipes),11340000,3,222,"222.12_fac,222.12_lab,222.12_mat",Unchanged,0.1476
12,222.13,Heat exchangers,1254784,3,222,"222.13_fac,222.13_lab,222.13_mat",Unchanged,0.01633
13,227,Instrumentation & control,8500000,2,22,"227_fac,227_lab,227_mat",Unchanged,0.11063
14,231,Turbine and electric systems,18734511,2,23,"231_fac,231_lab,231_mat",Unchanged,0.24384
15,2C,Calculated DIRECT COST,76831858,0,,"2c_fac,2c_lab,2c_mat",Unchanged,1
16,2,TOTAL DIRECT COST,76831858,0,,,Unchanged,1